TIME,2010i,2011i,2012i,2013i,2014i,2015i,2016i
Belgium,-10.05,-5.15,-4.41,-5.47,-0.85,-3.66,-4.75
Bulgaria,0.89,-9.52,-10.08,1.92,-0.21,-10.82,-2.97
Czechia,-6.36,-1.96,-1.75,-0.7,-7.61,-2.2,-9.58
Denmark,-3.77,-9.67,-4.29,-8.62,-2.67,0.28,-3.85
Germany,-6.1,-1.05,-1.25,-6.97,-3.3,-3.07,-4.71
Estonia,-13.96,-9.35,3.28,-9.26,-18.79,6.35,-4.36
Ireland,-6.96,0.69,-6.68,-5.74,-23.67,2.08,-5.86
Greece,6.37,7.9,-2.93,-2.21,-4.73,-2.74,4.69
Spain,2.6,2.55,-7.62,0.91,-0.62,-8.74,1.21
France,-6.42,-1.76,-1.32,-6.71,-1.78,-2.25,-1.33
Croatia,-0.11,-4.45,-3.75,-3.11,-1.54,-4.27,-2.76
Italy,-3.99,-2.98,-7.17,-4.6,-0.74,-2.45,-1.41
Cyprus,-10.06,-6.39,-2.19,10.57,-4.34,0.15,-0.74
Latvia,-18.42,-11.01,-4.26,-4.34,-0.01,-2.91,-5.46
Lithuania,-5.04,-6.5,-7.89,1.31,-1.18,0.82,0.15
Luxembourg,-15.96,-1.64,-5.11,-5.58,4.54,-7.03,-3.33
Hungary,-3.5,-3.49,-6.08,-1.54,-0.66,-4.89,-5.14
Malta,-3.64,-3.81,-14.18,-8.03,-21.34,-11.76,9.79
Netherlands,-6.37,-2.77,-1.51,-1.38,1.32,-2.82,-5.13
Austria,-6.25,-6.81,-3.78,-6.76,-1.93,-5.23,1.09
Poland,-3.73,-5.41,-2.6,-6.26,-3.58,3.36,-3.77
Portugal,1.28,2.68,-5.05,-0.61,3.22,-6.48,2.94
Romania,0.91,-4.97,-14.76,-4.61,-4.59,-9.41,-10.68
Slovenia,-0.97,-1.32,-3.44,-12.07,-1.48,-0.02,-3.84
Slovakia,-3.61,-10.91,-1.84,-6.39,-2.77,-0.12,-1.62
Finland,-13.26,-9.6,0.12,-8.59,-8.69,3.88,-8.9
Sweden,-15.05,-9.29,-6.1,-1.09,-4.17,-0.95,-0.68
United Kingdom,-6.42,-8.58,-2.83,-13.87,-16.23,1.49,-0.25
