TIME,2010,2011,2012,2013,2014,2015,2016,2017,2018
Belgium,319.94,287.79,272.96,260.93,246.66,244.57,235.63,224.43,219.66
Bulgaria,"1,560.92","1,574.81","1,424.91","1,281.24","1,305.88","1,303.19","1,162.19","1,127.71",978.09
Czechia,827.78,775.11,759.95,746.66,741.42,685.01,669.91,605.71,561.36
Denmark,435.58,419.16,378.64,362.39,331.16,322.31,323.21,310.77,306.46
Germany,347.1,325.94,322.53,318.51,296.3,286.51,277.71,264.63,246.4
Estonia,"1,598.99","1,375.77","1,247.16","1,288.03","1,168.79",949.23,"1,009.5",965.5,841.39
Ireland,356.83,332.01,334.29,311.97,294.05,224.45,229.11,215.69,195.83
Greece,491.19,522.49,563.79,547.25,535.15,509.85,495.89,519.16,505
Spain,299.81,307.61,315.45,291.42,294.08,292.27,266.73,269.96,252.68
France,211.61,198.03,194.55,191.98,179.09,175.91,171.96,169.68,158.94
Croatia,573.51,572.88,547.38,526.84,510.47,502.62,481.17,467.89,460
Italy,270.49,259.71,251.96,233.9,223.15,221.5,216.07,213.03,206.1
Cyprus,473.2,425.59,398.39,389.67,430.85,412.13,412.73,409.67,381.81
Latvia,755.22,616.14,548.28,524.93,502.13,502.09,487.48,460.88,450.21
Lithuania,802.44,762.01,712.48,656.27,664.84,656.98,662.36,663.36,619.55
Luxembourg,233,195.81,192.59,182.74,172.54,180.37,167.69,162.11,153.06
Hungary,613.13,591.67,571,536.28,528.04,524.56,498.89,473.23,439.53
Malta,682.79,657.91,632.85,543.11,499.49,392.92,346.72,380.65,305.56
Netherlands,326.46,305.65,297.17,292.67,288.62,292.43,284.18,269.59,250.1
Austria,249.33,233.74,217.82,209.58,195.42,191.64,181.62,183.6,168.23
Poland,"1,144.71","1,102.06","1,042.46","1,015.33",951.77,917.71,948.58,912.84,869.1
Portugal,370.48,375.24,385.28,365.82,363.6,375.32,351.01,361.33,329.91
Romania,994.74,"1,003.84",953.92,813.16,775.64,740.03,670.39,598.79,551.64
Slovenia,511.99,507.03,500.35,483.14,424.83,418.54,418.45,402.38,382.11
Slovakia,647.29,623.95,555.9,545.67,510.79,496.64,496.04,488,465.9
Finland,431.41,374.21,338.27,338.69,309.61,282.69,293.66,267.52,263.79
Sweden,185.71,157.76,143.11,134.38,132.91,127.37,126.16,125.3,128.74
United Kingdom,304.17,284.63,260.22,252.86,217.8,182.46,185.17,184.7,175.75
