TIME,2010i,2011i,2012i,2013i,2014i,2015i,2016i
Belgium,-7.07,-5.86,-3.5,-4.6,-0.25,-5.8,-5.33
Bulgaria,11.46,-7.66,-9.52,6.24,0.52,-3.75,-27.25
Czechia,-5.31,-6.12,-7.53,-3.42,-4.44,-5.29,-2.26
Denmark,-6.24,-7.74,-3.65,-7.41,-1.13,0.29,-2.5
Germany (until 1990 former territory of the FRG),-1.22,-2.45,0.17,-2.73,-1.85,-2.06,-2.98
Estonia,-3.46,-7.26,-2.99,-1.33,-11.15,-0.82,2.57
Ireland,-10.27,2.59,1.24,0.06,2.2,0.55,-1.73
Greece,-7.01,-17.34,-0.96,-2.55,-0.97,-1.3,8.31
Spain,-1.85,-3.69,-13.06,2.24,0.38,-4.56,-0.3
France,-5.37,-2.79,-1.11,-7.29,-2.74,-4.67,-4.2
Croatia,-5.19,-7.49,-1.44,-6.57,0.84,-2.13,-2.44
Italy,-3.9,-6.26,-6.11,-2.15,-3.14,-3.06,-5.61
Cyprus,14.94,0.5,-24.07,4.62,-13.34,-1.46,-0.58
Latvia,-6.59,-0.81,1.06,-0.24,-0.51,-3.7,2.28
Lithuania,-4.96,3.8,-1.96,-0.05,1.66,-0.34,-7.07
Luxembourg,0.05,-8.32,-11.19,-7.14,-12.35,-9.1,-10.0
Hungary,-6.76,-5.88,-1.92,-1.72,1.52,-6.02,2.06
Malta,-1.5,5.95,-17.53,-1.07,-14.54,-8.58,-6.8
Netherlands,-4.54,-4.9,-3.2,-6.86,0.12,-5.32,-2.38
Austria,-5.3,-3.12,0.45,-5.11,-2.41,-3.15,-4.39
Poland,-1.83,-4.1,-4.8,-6.19,-2.86,2.33,8.29
Portugal,-8.3,-6.95,-2.06,-1.51,2.36,-3.72,1.96
Romania,4.36,-0.65,-8.33,-1.71,-0.24,-1.69,4.91
Slovenia,-1.53,-3.3,-4.3,-11.13,-10.24,2.54,-3.5
Slovakia,-8.96,-2.89,-2.93,-0.45,-0.41,-7.84,-1.55
Finland,-8.51,-5.77,-1.93,-4.86,-7.91,-3.2,-3.27
Sweden,-4.97,-5.35,-1.76,-0.97,-3.47,-3.16,-3.16
United Kingdom,-7.16,2.12,-5.05,-6.31,-3.47,-8.84,-3.74
Iceland,-9.34,-0.23,-3.57,-0.57,2.54,-8.17,2.87
Liechtenstein,1.9,5.22,-0.35,-4.09,-2.78,-4.01,-2.19
Norway,0.51,-1.94,-3.55,-3.66,-5.46,-4.68,-4.31
Switzerland,-6.06,-0.01,-0.21,-5.34,-5.6,-2.72,-3.47
Turkey,5.43,-11.88,8.23,-0.76,1.16,1.29,8.62
