TIME,2010,2011,2012,2013,2014,2015,2016,2017
Belgium,246046,228658,215257,207714,198157,197667,186201,176273
Bulgaria,147645,164571,151961,137489,146070,146832,141328,102813
Czechia,232388,220037,206571,191025,184494,176299,166971,163205
Denmark,150047,140679,129787,125056,115794,114486,114822,111954
Germany (until 1990 former territory of the FRG),1356144,1339572,1306744,1309024,1273223,1249634,1223916,1187502
Estonia,42862,41377,38374,37226,36730,32636,32368,33200
Ireland,117142,105109,107833,109165,109233,111636,112245,110307
Greece,317786,295498,244257,241901,235733,233444,230400,249536
Spain,920629,903574,870277,756614,773596,776523,741149,738890
France,1077494,1019633,991220,980168,908757,883876,842639,807225
Croatia,70532,66868,61859,60971,56968,57445,56224,54852
Italy,966638,928968,870854,817684,800083,774926,751187,709070
Cyprus,18666,21455,21562,16373,17130,14845,14628,14543
Latvia,40878,38184,37876,38279,38189,37994,36588,37421
Lithuania,58712,55800,57923,56788,56758,57701,57503,53437
Luxembourg,33764,33781,30971,27505,25541,22387,20350,18314
Hungary,144823,135030,127087,124650,122506,124367,116881,119283
Malta,8618,8489,8994,7417,7338,6271,5733,5343
Netherlands,332588,317479,301936,292271,272225,272539,258036,251905
Austria,183140,173429,168011,168763,160136,156276,151357,144712
Poland,887889,871669,835947,795826,746580,725257,742168,803661
Portugal,192273,176321,164059,160682,158248,161982,155950,159009
Romania,241075,251576,249935,229125,225214,224672,220867,231717
Slovenia,48255,47519,45953,43976,39081,35078,35969,34711
Slovakia,85061,77441,75203,73003,72673,72375,66698,65665
Finland,187215,171278,161391,158277,150589,138676,134243,129850
Sweden,156571,148786,140822,138342,136998,132248,128075,124025
United Kingdom,1250289,1160813,1185385,1125487,1054430,1017827,927803,893108
Iceland,26848,24341,24284,23417,23284,23876,21925,22555
Liechtenstein,526,536,564,562,539,524,503,492
Norway,206073,207128,203103,195892,188724,178413,170055,162730
Switzerland,77747,73035,73027,72876,68982,65118,63344,61149
Turkey,706512,744872,656402,710448,705075,713238,722418,784697
