TIME,2010i,2011i,2012i,2013i,2014i,2015i,2016i
Belgium,6.29,3.78,4.01,5.19,5.12,2.88,8.23
Bulgaria,8.7,12.53,5.39,7.21,5.73,-6.81,5.15
Czechia,6.51,6.09,4.8,4.35,5.09,5.62,8.63
Denmark,7.51,0.5,4.36,4.44,3.31,6.52,4.96
Germany,5.48,2.72,2.88,3.33,4.32,3.86,6.97
Estonia,12.58,6.93,2.41,1.78,2.51,0.37,8.98
Ireland,3.24,3.13,2.19,2.72,3.78,2.6,3.42
Greece,-3.28,2.32,-0.17,7.64,5.58,-5.99,10.8
Spain,7.52,-3.17,-0.39,4.83,5.26,10.28,8.89
France,6.79,2.19,3.39,4.08,3.8,6.31,7.15
Croatia,3.22,2.22,3.27,5.35,5.58,-1.53,10.77
Italy,5.56,1.08,-0.02,3.55,4.04,2.69,7.51
Cyprus,2.91,22.9,5.38,7.47,7.12,8.07,14.06
Latvia,9.95,-0.09,2.85,5.51,2.07,3.19,9.37
Lithuania,14.91,7.01,6.41,-0.76,-0.91,0.46,9.94
Luxembourg,7.32,4.05,5.11,6.55,2.98,2.89,6.65
Hungary,7.34,8.06,4.88,5.26,6.39,1.64,8.41
Malta,4.95,1.89,5.09,5.73,-2.5,3.42,16.94
Netherlands,5.76,3.01,4.88,3.74,4.45,6.38,6.52
Austria,6.78,4.24,3.44,4.37,4.64,0.27,8.37
Poland,9.82,8.0,5.21,0.73,3.21,3.46,8.47
Portugal,9.81,1.01,4.61,6.96,4.83,9.85,10.47
Romania,8.16,10.03,6.0,4.37,4.88,1.83,7.81
Slovenia,4.23,2.59,1.24,5.92,4.48,-2.86,12.61
Slovakia,7.87,7.49,6.32,3.99,3.52,4.72,9.99
Finland,9.71,5.69,0.79,3.77,0.74,0.63,8.32
Sweden,9.16,5.3,3.6,4.15,2.5,3.9,6.03
United Kingdom,4.48,1.7,3.71,3.61,5.12,6.02,5.79
