TIME,2010i,2011i,2012i,2013i,2014i,2015i,2016i
Belgium,-0.27,0.27,0.81,-0.27,0.0,-0.27,1.35
Bulgaria,-0.73,-0.49,0.0,0.25,0.0,0.0,0.0
Czechia,-0.24,-0.49,-0.98,-0.25,0.25,-0.49,-0.25
Denmark,0.0,-0.29,0.0,-0.59,0.3,-0.89,0.0
Germany,-0.56,0.0,-0.56,0.0,-0.28,-0.28,-0.28
Estonia,0.0,0.26,0.0,0.26,-0.77,-0.52,0.26
Ireland,-0.29,0.57,0.57,0.85,0.84,0.0,1.11
Greece,-0.24,-0.24,0.0,-0.24,0.72,0.24,-0.71
Spain,-0.52,-0.78,-0.52,-0.26,-0.26,-0.26,0.0
France,0.0,-0.26,-1.06,-0.8,0.0,0.27,-0.27
Croatia,-0.75,0.25,-0.5,0.25,-1.0,-0.25,0.51
Italy,-0.79,-1.07,-0.54,0.0,0.27,0.0,0.54
Cyprus,-0.75,0.0,0.0,-1.01,0.25,-0.76,0.0
Latvia,0.0,-0.26,0.26,0.77,-0.26,-0.77,0.26
Lithuania,-0.78,-0.26,0.26,0.0,0.52,0.52,0.0
Luxembourg,-0.54,0.54,-0.27,0.81,0.0,0.27,-0.53
Hungary,-0.76,0.0,0.25,0.76,0.0,-0.25,0.25
Malta,-0.51,0.0,-0.78,-0.78,1.05,0.52,0.26
Netherlands,-0.33,-0.65,-1.32,0.67,-0.33,0.66,0.0
Austria,0.0,-0.53,-1.07,-1.08,-0.27,-0.27,-0.27
Poland,-0.25,0.49,0.0,0.0,0.0,0.0,-0.49
Portugal,0.51,0.0,0.51,1.02,-0.76,0.0,0.25
Romania,0.0,-0.25,-0.25,0.0,-0.5,0.25,-0.5
Slovenia,0.25,0.76,-0.5,-0.76,0.0,0.0,-0.76
Slovakia,0.0,0.49,-0.25,-0.49,-0.74,-0.25,-0.75
Finland,-0.27,-0.27,-0.54,-0.27,0.0,-0.27,0.0
Sweden,0.0,0.28,-0.27,0.0,0.0,0.28,0.0
United Kingdom,0.0,-0.27,0.55,0.55,0.0,-0.27,0.0
