TIME,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Belgium,36.9,36.8,36.9,37.2,37.1,37.1,37,37.5,37.2,37.2
Bulgaria,41.2,40.9,40.7,40.7,40.8,40.8,40.8,40.8,40.7,40.5
Czechia,41.2,41.1,40.9,40.5,40.4,40.5,40.3,40.2,40.1,40
Denmark,33.9,33.9,33.8,33.8,33.6,33.7,33.4,33.4,33.5,33.3
Germany,35.7,35.5,35.5,35.3,35.3,35.2,35.1,35,34.9,34.8
Estonia,38.7,38.7,38.8,38.8,38.9,38.6,38.4,38.5,38.2,38.1
Ireland,35,34.9,35.1,35.3,35.6,35.9,35.9,36.3,36.5,36.5
Greece,42.2,42.1,42,42,41.9,42.2,42.3,42,42,41.7
Spain,38.7,38.5,38.2,38,37.9,37.8,37.7,37.7,37.7,37.5
France,38,38,37.9,37.5,37.2,37.2,37.3,37.2,37.3,37.4
Croatia,40.2,39.9,40,39.8,39.9,39.5,39.4,39.6,39.6,39.7
Italy,37.8,37.5,37.1,36.9,36.9,37,37,37.2,37.2,37.1
Cyprus,40.1,39.8,39.8,39.8,39.4,39.5,39.2,39.2,39.3,39.3
Latvia,38.8,38.8,38.7,38.8,39.1,39,38.7,38.8,38.9,38.6
Lithuania,38.4,38.1,38,38.1,38.1,38.3,38.5,38.5,38.6,38.8
Luxembourg,37.2,37,37.2,37.1,37.4,37.4,37.5,37.3,37.6,37.9
Hungary,39.7,39.4,39.4,39.5,39.8,39.8,39.7,39.8,39.6,39.5
Malta,38.9,38.7,38.7,38.4,38.1,38.5,38.7,38.8,38.9,39.5
Netherlands,30.7,30.6,30.4,30,30.2,30.1,30.3,30.3,30.4,30.4
Austria,37.7,37.7,37.5,37.1,36.7,36.6,36.5,36.4,36.5,36.4
Poland,40.6,40.5,40.7,40.7,40.7,40.7,40.7,40.5,40.4,40.3
Portugal,38.9,39.1,39.1,39.3,39.7,39.4,39.4,39.5,39.5,39.4
Romania,40.2,40.2,40.1,40,40,39.8,39.9,39.7,39.6,39.8
Slovenia,39.4,39.5,39.8,39.6,39.3,39.3,39.3,39,39.2,39.5
Slovakia,40.6,40.6,40.8,40.7,40.5,40.2,40.1,39.8,40,40.1
Finland,37.3,37.2,37.1,36.9,36.8,36.8,36.7,36.7,36.8,36.6
Sweden,36.3,36.3,36.4,36.3,36.3,36.3,36.4,36.4,36.4,36.4
United Kingdom,36.4,36.4,36.3,36.5,36.7,36.7,36.6,36.6,36.5,36.6
