TIME,2010i,2011i,2012i,2013i,2014i,2015i,2016i
Belgium,5.48,1.3,2.56,3.75,-1.2,3.66,1.18
Bulgaria,36.36,13.33,5.88,5.56,3.51,8.47,4.69
Czechia,9.84,8.96,0.0,6.85,1.28,3.8,1.22
Denmark,4.65,2.22,1.09,0.0,-1.08,2.17,3.19
Germany,1.22,2.41,3.53,1.14,1.12,2.22,1.09
Estonia,2.99,7.25,6.76,5.06,6.02,-2.27,2.33
Ireland,8.33,3.85,1.23,0.0,3.66,2.35,1.15
Greece,8.7,8.0,3.7,17.86,3.03,1.47,2.9
Spain,8.62,6.35,4.48,5.71,6.76,3.8,1.22
France,2.7,5.26,2.5,1.22,0.0,3.61,0.0
Croatia,8.93,8.2,-1.52,4.62,13.24,0.0,-1.3
Italy,5.08,1.61,9.52,5.8,2.74,5.33,2.53
Cyprus,5.56,8.77,4.84,6.15,2.9,4.23,6.76
Latvia,6.67,7.81,4.35,1.39,4.11,1.32,2.6
Lithuania,-1.64,0.0,8.33,1.54,3.03,5.88,4.17
Luxembourg,1.11,2.2,1.08,2.13,1.04,0.0,0.0
Hungary,8.62,6.35,4.48,4.29,4.11,3.95,3.8
Malta,7.14,2.67,1.3,2.56,1.25,0.0,4.94
Netherlands,3.3,0.0,1.06,1.05,0.0,1.04,1.03
Austria,2.74,5.33,2.53,0.0,1.23,3.66,4.71
Poland,6.35,4.48,2.86,4.17,1.33,5.26,2.5
Portugal,7.41,5.17,1.64,4.84,7.69,5.71,4.05
Romania,11.9,14.89,7.41,5.17,11.48,5.88,5.56
Slovenia,7.35,1.37,2.7,1.32,1.3,0.0,5.13
Slovakia,5.97,5.63,4.0,0.0,1.28,2.53,0.0
Finland,3.7,3.57,2.3,1.12,0.0,2.22,2.17
Sweden,3.41,1.1,1.09,-3.23,1.11,3.3,1.06
United Kingdom,3.75,4.82,1.15,2.27,1.11,2.2,1.08
