TIME,2010i,2011i,2012i,2013i,2014i,2015i,2016i
Belgium,-10.86,-7.05,33.79,-16.49,-0.62,-17.39,-6.77
Bulgaria,-1.81,-1.1,-4.09,3.88,-1.87,-4.94,-5.6
Czechia,-2.6,-12.0,5.3,-2.88,-11.11,-2.5,-20.51
Denmark,10.56,-36.94,-7.07,-1.09,-15.38,9.09,-7.14
Germany,7.5,-3.1,8.0,-2.96,5.34,2.17,0.71
Estonia,-19.44,8.28,-21.66,0.0,-4.07,-22.03,-20.65
Ireland,1.96,2.88,11.21,-7.56,-0.91,-11.01,0.0
Greece,5.24,0.0,-5.47,-15.26,-20.5,-7.81,16.95
Spain,-16.92,-6.48,40.59,-16.2,-15.97,3.0,-15.53
France,-5.13,-0.68,14.29,-8.93,-7.19,4.23,-6.08
Croatia,-21.74,-11.11,-9.38,-13.79,12.0,7.14,0.0
Italy,14.17,2.76,7.38,12.5,7.78,-24.23,-14.97
Cyprus,18.11,3.33,-1.29,-22.22,0.84,-18.33,27.55
Latvia,-20.17,-10.53,-29.41,8.33,-9.23,-15.25,-20.0
Lithuania,-9.43,4.17,28.0,-25.0,-4.17,-26.09,141.18
Luxembourg,4.9,34.58,-10.42,30.23,-11.31,-18.12,-1.64
Hungary,-6.84,-4.59,21.15,10.32,-23.74,-8.49,-25.77
Malta,22.12,-0.79,2.38,-5.43,-9.84,-5.45,-3.85
Netherlands,10.71,-1.61,-1.09,2.21,-5.95,-2.87,-11.24
Austria,-9.7,-3.31,-3.42,18.58,-3.73,-3.88,-12.1
Poland,-3.08,0.0,1.59,0.0,-9.38,-3.45,-3.57
Portugal,-10.62,7.92,22.02,-12.78,-9.48,-25.71,1.28
Romania,5.84,-15.95,14.6,-7.64,-9.66,7.63,-19.86
Slovenia,-7.53,-5.81,12.35,10.99,-8.91,-7.61,-5.88
Slovakia,-1.96,-4.0,-7.29,-2.25,-16.09,-5.48,-10.14
Finland,-4.6,3.61,4.65,-22.22,4.29,-10.96,-4.62
Sweden,8.65,-6.19,-4.72,5.94,1.87,16.51,2.36
United Kingdom,-10.39,-4.83,-11.68,-5.17,0.61,1.2,20.83
