TIME,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Belgium,17.5,15.6,14.5,19.4,16.2,16.1,13.3,12.4,12.3,13.3
Bulgaria,27.7,27.2,26.9,25.8,26.8,26.3,25,23.6,21.8,20.2
Czechia,15.4,15,13.2,13.9,13.5,12,11.7,9.3,7.9,7.8
Denmark,14.2,15.7,9.9,9.2,9.1,7.7,8.4,7.8,7.4,7.5
Germany,12,12.9,12.5,13.5,13.1,13.8,14.1,14.2,13.3,13.1
Estonia,18,14.5,15.7,12.3,12.3,11.8,9.2,7.3,7.4,7.4
Ireland,10.2,10.4,10.7,11.9,11,10.9,9.7,9.7,10,10
Greece,19.1,20.1,20.1,19,16.1,12.8,11.8,13.8,13.5,16.9
Spain,13,10.8,10.1,14.2,11.9,10,10.3,8.7,10.9,11.6
France,15.6,14.8,14.7,16.8,15.3,14.2,14.8,13.9,14.9,14.9
Croatia,4.6,3.6,3.2,2.9,2.5,2.8,3,3,2.6,2.7
Italy,12.7,14.5,14.9,16,18,19.4,14.7,12.5,11.3,11.3
Cyprus,12.7,15,15.5,15.3,11.9,12,9.8,12.5,13.9,12.7
Latvia,23.8,19,17,12,13,11.8,10,8,8.6,6.1
Lithuania,5.3,4.8,5,6.4,4.8,4.6,3.4,8.2,3.7,3.2
Luxembourg,10.2,10.7,14.4,12.9,16.8,14.9,12.2,12,11.3,11.2
Hungary,11.7,10.9,10.4,12.6,13.9,10.6,9.7,7.2,4.8,5.3
Malta,10.4,12.7,12.6,12.9,12.2,11,10.4,10,12.5,13.6
Netherlands,16.8,18.6,18.3,18.1,18.5,17.4,16.9,15,17.5,16.3
Austria,13.4,12.1,11.7,11.3,13.4,12.9,12.4,10.9,9.7,8.4
Poland,6.5,6.3,6.3,6.4,6.4,5.8,5.6,5.4,4.8,4.4
Portugal,11.3,10.1,10.9,13.3,11.6,10.5,7.8,7.9,6.5,6.7
Romania,15.4,16.3,13.7,15.7,14.5,13.1,14.1,11.3,11.5,9.6
Slovenia,9.3,8.6,8.1,9.1,10.1,9.2,8.5,8,7.9,8
Slovakia,10.2,10,9.6,8.9,8.7,7.3,6.9,6.2,4.8,4.5
Finland,8.7,8.3,8.6,9,7,7.3,6.5,6.2,7,6.4
Sweden,10.4,11.3,10.6,10.1,10.7,10.9,12.7,13,14.4,13
United Kingdom,23.1,20.7,19.7,17.4,16.5,16.6,16.8,20.3,24.2,22
