TIME,2010i,2011i,2012i,2013i,2014i,2015i,2016i
Belgium,4.01,2.24,1.18,-0.56,1.68,2.64,3.63
Bulgaria,-5.51,-1.91,-2.19,1.43,2.79,7.02,8.67
Czechia,0.11,-1.47,0.0,2.45,3.95,7.2,11.66
Denmark,-1.7,-2.7,3.9,3.77,6.96,5.22,4.54
Germany (until 1990 former territory of the FRG),3.46,3.46,3.12,3.13,4.71,7.5,6.14
Estonia,8.48,7.29,10.65,13.72,6.86,4.75,5.5
Ireland,-17.08,-13.45,1.25,16.53,11.46,7.46,10.91
Spain,-7.64,-14.78,-9.12,0.31,3.58,4.62,6.19
France,5.81,-0.55,-1.9,-1.59,-1.47,1.01,3.12
Croatia,0.17,-1.56,-3.95,-1.58,-2.89,0.89,3.83
Italy,1.35,-2.51,-6.51,-4.67,-3.85,0.3,-1.1
Cyprus,-1.6,-3.05,-4.09,-1.76,-1.45,0.27,2.24
Latvia,10.43,2.96,6.85,6.0,-3.36,8.49,8.78
Lithuania,6.62,-0.23,1.22,6.42,3.66,5.4,8.92
Luxembourg,3.68,4.2,4.98,4.39,5.4,6.01,5.61
Hungary,-3.43,-3.7,-2.56,4.19,13.08,13.38,12.22
Malta,-1.36,3.05,-0.41,2.55,5.81,5.45,5.29
Netherlands,-1.98,-6.71,-6.0,0.81,3.59,5.02,7.53
Austria,6.25,7.32,5.17,3.51,4.9,8.53,5.28
Poland,0.09,-3.49,-4.38,0.98,1.52,1.86,3.85
Portugal,-4.91,-7.07,-1.88,4.24,3.05,7.12,9.24
Romania,-12.31,-5.07,-0.25,-2.06,2.86,5.95,6.05
Slovenia,2.71,-6.89,-5.25,-6.6,0.81,3.25,8.27
Slovakia,-1.5,-2.71,0.91,1.41,5.36,6.7,5.9
Finland,3.18,2.42,1.15,-0.35,0.0,0.81,1.56
Sweden,2.57,1.27,5.15,9.42,13.12,8.24,6.64
United Kingdom,-1.47,0.38,2.57,8.02,5.93,6.99,4.55
