TIME,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Belgium,91.92,95.61,97.75,98.9,98.35,100,102.64,106.37,109.42,113.78
Bulgaria,105.81,99.98,98.07,95.92,97.29,100,107.02,116.3,123.96,131.42
Czechia,95.2,95.3,93.9,93.9,96.2,100,107.2,119.7,130,141.9
Denmark,90.66,89.12,86.71,90.09,93.49,100,105.22,110,114.81,117.51
Germany (until 1990 former territory of the FRG),83.9,86.8,89.8,92.6,95.5,100,107.5,114.1,121.7,128.7
Estonia,63.9,69.32,74.37,82.29,93.58,100,104.75,110.51,117.07,125.27
Ireland,105.96,87.86,76.04,76.99,89.72,100,107.46,119.18,131.35,134.41
Spain,134.55,124.27,105.9,96.24,96.54,100,104.62,111.1,118.58,124.71
France,99.91,105.71,105.13,103.13,101.49,100,101.01,104.16,107.24,110.78
Croatia,110.47,110.66,108.93,104.63,102.98,100,100.89,104.75,111.14,121.1
Italy,118.1,119.7,116.7,109.1,104,100,100.3,99.2,98.6,98.5
Cyprus,112.9,111.09,107.7,103.29,101.47,100,100.27,102.52,104.32,108.2
Latvia,80.35,88.73,91.36,97.62,103.48,100,108.49,118.01,129.3,140.88
Lithuania,84.2,89.77,89.56,90.65,96.47,100,105.4,114.8,123.18,131.61
Luxembourg,80.14,83.09,86.58,90.89,94.88,100,106.01,111.96,119.86,131.99
Hungary,93.66,90.45,87.1,84.87,88.43,100,113.38,127.24,145.5,170.05
Malta,91.04,89.8,92.54,92.16,94.51,100,105.45,111.03,117.45,124.64
Netherlands,111.4,109.19,101.86,95.75,96.53,100,105.02,112.93,123.61,132.62
Austria,76.8,81.6,87.57,92.1,95.33,100,108.53,114.26,119.64,126.6
Poland,105.61,105.7,102.01,97.54,98.5,100,101.86,105.78,112.74,122.52
Portugal,107.36,102.09,94.87,93.09,97.04,100,107.12,117.02,129.03,141.46
Romania,119.54,104.83,99.51,99.26,97.22,100,105.95,112.36,118.62,122.69
Slovenia,117.21,120.39,112.09,106.21,99.2,100,103.25,111.79,121.55,129.69
Slovakia,96.78,95.33,92.75,93.59,94.91,100,106.7,112.99,121.32,132.39
Finland,93.88,96.87,99.21,100.35,100,100,100.81,102.38,103.44,104.49
Sweden,73.97,75.87,76.83,80.79,88.4,100,108.24,115.43,114.35,117.19
United Kingdom,86.15,84.88,85.2,87.39,94.4,100,106.99,111.86,115.53,116.68
Iceland,72.02,75.36,80.57,85.21,92.39,100,109.77,131.2,142.01,148.3
Norway,75.77,81.95,87.48,91.24,93.74,100,107.88,113.75,115.53,120.18
Turkey,58.11,62.14,68.03,75.79,86.11,100,113.27,124.83,133.4,140.64
