TIME,2010i,2011i,2012i,2013i,2014i,2015i,2016i
Belgium,3.17,8.49,0.1,5.94,3.62,3.91,5.84
Bulgaria,-2.33,5.14,7.91,4.85,3.08,1.6,1.18
Czechia,-3.25,6.45,3.11,-0.04,4.35,5.9,0.98
Denmark,1.48,5.56,6.23,7.55,6.71,1.51,5.2
Germany,-5.01,4.73,2.38,-1.27,2.69,2.23,3.47
Estonia,2.95,-4.88,2.65,7.41,1.12,-2.7,0.33
Ireland,-2.0,2.74,4.59,9.55,1.25,6.19,2.72
Greece,3.83,1.9,8.93,11.09,0.14,5.83,5.42
Spain,3.11,-2.33,3.25,5.16,2.83,5.42,3.89
France,3.65,7.19,6.74,8.3,2.66,5.28,6.36
Croatia,7.51,-4.82,9.75,11.42,16.56,6.48,0.75
Italy,2.69,8.88,5.12,4.83,4.0,5.96,10.74
Cyprus,2.96,1.8,7.07,1.98,-7.44,7.34,5.21
Latvia,-2.81,1.83,6.58,-1.68,3.28,-5.94,0.88
Lithuania,-2.33,3.41,5.39,8.77,3.65,-4.35,1.65
Luxembourg,15.5,8.05,10.56,1.69,-0.55,-2.22,-12.5
Hungary,8.39,7.39,7.53,8.7,-4.24,6.31,2.16
Malta,-6.35,9.32,6.98,2.17,-0.71,10.71,3.87
Netherlands,-0.62,6.33,1.87,4.34,6.49,1.9,4.99
Austria,5.64,3.12,5.06,40.47,2.89,3.56,-6.06
Poland,-0.43,3.89,1.4,10.13,1.21,-0.53,3.72
Portugal,22.34,9.27,5.54,1.35,5.03,4.32,10.12
Romania,7.86,2.54,1.04,3.48,-14.21,-1.87,7.44
Slovenia,-1.47,6.4,5.61,-4.17,9.5,1.45,0.53
Slovakia,1.57,7.12,-5.44,-2.88,10.9,6.37,6.13
Finland,8.54,8.93,7.84,9.5,4.47,5.02,4.03
Sweden,9.69,7.1,6.56,7.8,5.59,1.6,2.4
United Kingdom,-1.88,19.14,5.27,6.63,5.76,3.03,-0.54
