TIME,2010i,2011i,2012i,2013i,2014i,2015i,2016i
Belgium,2.79,1.36,5.93,1.03,-0.23,2.96,1.96
Bulgaria,-3.41,-1.85,2.24,13.24,0.63,-5.43,13.93
Czechia,5.57,4.56,-1.25,-0.94,-2.61,5.59,5.66
Denmark,4.97,0.89,0.96,1.52,1.81,1.06,2.5
Germany,1.31,2.9,-0.07,0.77,4.74,2.94,3.03
Estonia,-2.25,6.95,9.89,9.7,9.31,9.58,8.55
Ireland,-3.83,-0.4,1.06,1.58,7.24,4.23,1.49
Greece,-8.18,-13.4,-12.0,-8.25,-2.08,-0.27,1.33
Spain,-4.63,-0.44,-2.48,-1.89,0.63,2.46,3.82
France,0.18,3.04,1.56,1.31,1.02,1.39,1.14
Croatia,-3.98,-3.62,-5.56,2.89,4.36,5.01,8.45
Italy,0.04,0.05,-1.54,0.17,0.55,2.53,1.82
Cyprus,5.01,-0.37,-6.23,-9.28,-4.22,1.65,3.4
Latvia,-6.53,6.08,4.85,11.51,12.01,9.21,3.8
Lithuania,-4.29,12.44,8.32,2.66,7.4,8.98,8.66
Luxembourg,0.63,0.74,1.59,3.06,2.77,-6.89,10.58
Hungary,5.94,4.52,-5.26,1.42,0.98,4.65,4.61
Malta,4.09,5.4,5.19,6.35,5.8,0.49,6.65
Netherlands,0.09,1.24,1.35,0.25,1.92,6.77,3.64
Austria,1.92,1.6,1.22,5.16,0.21,1.87,4.47
Poland,14.07,0.7,2.06,3.33,4.12,5.9,1.04
Portugal,-3.09,-1.03,-1.75,0.64,2.5,4.11,3.29
Romania,2.7,-2.01,-1.61,6.89,7.42,5.75,12.01
Slovenia,2.24,1.03,-2.23,0.48,3.55,-0.04,3.13
Slovakia,3.09,9.85,-2.74,1.07,1.78,0.3,3.34
Finland,2.23,4.0,2.52,1.85,0.26,-0.48,1.42
Sweden,14.22,10.51,6.49,1.72,-2.06,-0.56,0.84
United Kingdom,0.18,11.85,-2.46,9.81,2.44,0.51,-0.67
,,,,,,,
