TIME,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Belgium,19464,20008,20280,21483,21705,21654,22295,22733,23686,24608
Bulgaria,3017,2914,2860,2924,3311,3332,3151,3590,3590,4224
Czechia,7058,7451,7791,7694,7622,7423,7838,8282,9088,9995
Denmark,25668,26944,27184,27444,27861,28364,28665,29383,30104,30717
Germany,18797,19043,19595,19582,19733,20668,21275,21920,22713,23515
Estonia,5727,5598,5987,6579,7217,7889,8645,9384,10524,11461
Ireland,20512,19726,19648,19856,20169,21629,22544,22879,24920,26000
Greece,11963,10985,9513,8371,7680,7520,7500,7600,7863,8195
Spain,14605,13929,13868,13524,13269,13352,13681,14203,14785,15015
France,19960,19995,20603,20924,21199,21415,21713,21960,22220,22500
Croatia,5810,5579,5377,5078,5225,5453,5726,6210,6659,7306
Italy,15964,15971,15979,15733,15759,15846,16247,16542,16844,17000
Cyprus,16180,16990,16927,15873,14400,13793,14020,14497,15336,16215
Latvia,4488,4195,4450,4666,5203,5828,6365,6607,7333,8187
Lithuania,4030,3857,4337,4698,4823,5180,5645,6134,6895,7586
Luxembourg,32333,32538,32779,33301,34320,35270,32841,36315,34472,36354
Hungary,4241,4493,4696,4449,4512,4556,4768,4988,5424,5852
Malta,10435,10862,11449,12043,12808,13551,13617,14522,14781,15354
Netherlands,20292,20310,20562,20839,20891,21292,22733,23561,24016,24612
Austria,21058,21463,21807,22073,23211,23260,23694,24752,25176,25729
Poland,4405,5025,5060,5164,5336,5556,5884,5945,6574,7124
Portugal,8678,8410,8323,8177,8229,8435,8782,9071,9346,10023
Romania,2036,2091,2049,2016,2155,2315,2448,2742,3284,3851
Slovenia,11736,11999,12122,11852,11909,12332,12327,12713,13244,14067
Slovakia,6117,6306,6927,6737,6809,6930,6951,7183,7462,7800
Finland,21349,21826,22699,23272,23702,23763,23650,23987,24544,24879
Sweden,18897,21584,23852,25401,25838,25306,25164,25376,25540,24474
United Kingdom,17106,17136,19166,18694,20528,21028,21136,20995,21464,21000
,,,,,,,,,,
