TIME,2010i,2011i,2012i,2013i,2014i,2015i,2016i
Belgium,0.5,-0.25,0.25,0.87,-0.37,0.49,0.12
Bulgaria,0.54,0.27,0.67,-0.53,0.27,0.27,-0.13
Czechia,0.39,0.13,0.26,0.77,-0.25,0.51,0.0
Denmark,0.76,0.38,0.25,0.37,0.12,0.12,0.25
Germany,0.12,0.12,-0.12,0.74,-0.62,0.37,0.12
Estonia,0.79,0.13,1.04,-0.13,0.78,0.0,0.51
Ireland,0.12,0.0,0.12,0.49,0.12,0.25,0.61
Greece,0.25,-0.12,0.87,0.12,-0.49,0.49,-0.12
Spain,0.24,-0.12,0.85,0.12,-0.36,0.6,-0.12
France,0.61,-0.24,0.37,0.61,-0.6,0.36,0.0
Croatia,0.65,0.13,0.65,0.13,-0.51,0.9,-0.26
Italy,0.24,0.0,0.61,0.36,-0.6,0.85,-0.36
Cyprus,-0.37,-0.12,1.73,-0.24,-0.61,1.1,-0.6
Latvia,1.09,0.27,0.27,0.27,0.4,0.13,0.0
Lithuania,0.55,0.54,0.0,0.81,-0.13,0.4,1.2
Luxembourg,0.37,0.49,0.49,0.49,0.12,0.36,-0.73
Hungary,0.54,0.27,0.66,0.26,-0.39,0.66,-0.26
Malta,-0.74,0.0,1.24,0.24,-0.12,0.73,-0.24
Netherlands,0.37,-0.12,0.25,0.49,-0.24,0.12,0.12
Austria,0.5,0.0,0.25,0.37,-0.37,0.62,-0.12
Poland,0.52,0.13,0.26,0.91,-0.39,0.65,-0.26
Portugal,0.75,-0.12,0.37,0.49,0.0,0.0,0.37
Romania,0.95,0.0,0.94,-0.13,-0.13,0.4,0.0
Slovenia,0.38,0.25,0.25,0.87,-0.37,0.37,0.0
Slovakia,0.66,0.26,0.39,0.52,-0.39,0.78,0.0
Finland,0.5,0.12,0.5,0.25,0.37,-0.12,0.25
Sweden,0.37,-0.12,0.24,0.37,-0.12,0.24,0.12
United Kingdom,0.5,0.0,0.12,0.37,-0.49,0.25,0.12
