TIME,2010i,2011i,2012i,2013i,2014i,2015i,2016i
Belgium,22.37,18.28,-1.97,-2.0,3.53,3.41,1.39
Bulgaria,-0.45,-0.45,5.14,4.89,-16.98,-20.45,-9.21
Czechia,-0.48,-0.47,4.03,3.88,7.2,6.72,4.81
Denmark,-0.61,-0.62,10.57,9.56,-2.42,-2.48,3.46
Germany,-0.37,-0.37,1.86,1.82,1.58,1.55,1.56
Estonia,7.27,6.79,0.25,0.26,-2.54,-2.6,-0.45
Ireland,-7.56,-8.17,11.95,10.68,8.39,7.75,7.91
Greece,0.61,0.6,-3.0,-3.1,1.93,1.9,1.84
Spain,-10.29,-11.47,-6.6,-7.07,-4.47,-4.67,-5.04
France,-2.49,-2.56,-0.58,-0.58,1.22,1.21,0.43
Croatia,3.96,3.85,10.0,9.09,3.28,3.17,5.51
Italy,-0.85,-0.86,-1.73,-1.77,2.54,2.48,0.8
Cyprus,-22.76,-29.46,21.7,17.83,1.61,1.59,8.75
Latvia,21.67,17.73,-12.91,-14.82,8.89,8.25,1.59
Lithuania,-4.49,-4.72,0.44,0.41,-1.79,-1.8,1.43
Luxembourg,3.59,3.45,-11.23,-12.65,16.97,14.51,1.56
Hungary,-3.04,-3.14,1.78,1.75,1.64,1.61,2.27
Malta,-16.16,-19.27,38.68,27.89,3.87,3.65,11.93
Netherlands,1.14,1.12,-0.98,-0.99,4.15,3.98,1.56
Austria,31.15,23.75,5.93,5.6,-0.44,-0.44,2.5
Poland,4.44,4.25,6.22,5.85,-4.84,-5.09,0.39
Portugal,-2.03,-2.07,5.3,5.05,-6.15,-6.55,2.02
Romania,12.12,10.81,-15.31,-18.08,0.95,0.94,-10.26
Slovenia,-3.74,-3.88,3.96,3.81,-6.01,-6.42,-0.57
Slovakia,-5.1,-5.38,-1.92,-1.97,8.89,8.18,3.63
Finland,-6.95,-7.47,-6.63,-7.1,19.79,16.52,7.12
Sweden,20.54,17.04,4.08,3.92,-8.46,-9.25,-2.76
United Kingdom,-2.29,-2.34,3.44,3.32,0.07,0.07,1.93
