TIME,2010,2011,2012,2013,2014,2015,2016,2017
Belgium,16486,20174,23862,23393,22924,23734,24544,24884
Bulgaria,159874,159161,158449,166589,174730,145062,115394,104766
Czechia,17443,17360,17278,17975,18672,20017,21363,22391
Denmark,11744,11672,11600,12826,14052,13712,13372,13835
Germany,304225,303096,301967,307579,313190,318137,323083,328131
Estonia,17897,19199,20502,20554,20607,20084,19561,19472
Ireland,8554,7907,7261,8129,8997,9752,10508,11339
Greece,70233,70658,71082,68946,66810,68102,69394,70668
Spain,125117,112245,99373,92815,86257,82404,78552,74592
France,260463,253974,247484,246051,244618,247609,250600,251686
Croatia,2474,2572,2671,2938,3205,3310,3415,3603
Italy,116825,115830,114834,112842,110850,113667,116483,117417
Cyprus,2140,1653,1166,1419,1672,1699,1726,1877
Latvia,1006,1224,1441,1255,1069,1164,1260,1280
Lithuania,4500,4298,4095,4113,4130,4056,3983,4040
Luxembourg,6347,6575,6802,6038,5274,6169,7064,7174
Hungary,12615,12231,11847,12058,12269,12470,12671,12959
Malta,1077,903,729,1011,1293,1343,1392,1558
Netherlands,64796,65532,66268,65618,64968,67664,70360,71458
Austria,18186,23851,29515,31266,33016,32871,32727,33546
Poland,141293,147563,153833,163397,172961,164582,156203,156819
Portugal,9613,9418,9223,9712,10202,9575,8948,9129
Romania,198382,222416,246450,208718,170986,172616,174246,156374
Slovenia,5379,5178,4977,5174,5371,5048,4724,4697
Slovakia,7036,6677,6318,6197,6075,6615,7156,7416
Finland,104152,96914,89676,83729,77781,93176,108571,116302
Sweden,103754,125063,146373,152351,158330,144930,131531,127896
United Kingdom,154642,151102,147562,152632,157702,157806,157909,160949
