TIME,2010i,2011i,2012i,2013i,2014i,2015i,2016i
Belgium,-2.15,-1.57,-3.18,-2.96,-2.71,-1.74,-3.55
Bulgaria,-4.38,-4.17,-3.91,2.26,-1.77,-1.35,-2.28
Czechia,-3.47,-3.6,-3.73,-3.88,0.0,0.0,-2.42
Denmark,-3.74,-2.59,-0.66,-4.01,-2.79,-2.15,-2.2
Germany,-13.81,-1.1,-1.12,11.3,0.51,0.0,0.0
Estonia,-2.75,-5.08,-5.95,12.03,-2.26,-3.47,0.6
Ireland,-2.68,-3.09,-5.67,-9.77,-2.08,-2.13,-5.22
Greece,-3.64,-3.23,-3.9,-4.06,-4.83,-4.76,-2.33
Spain,-2.29,-1.28,-1.72,-2.41,-2.25,-2.07,-1.88
France,-2.19,-2.56,-7.89,-5.36,-2.26,-1.93,-0.79
Croatia,-3.15,-6.1,-3.03,-6.25,-2.86,0.98,-3.4
Italy,-1.73,-2.86,-1.81,-2.53,-0.95,-0.72,-1.68
Cyprus,-4.39,-6.71,-3.79,2.76,-2.3,-5.88,-4.58
Latvia,0.0,-10.77,-4.6,-3.01,-3.11,-4.49,2.01
Lithuania,-7.02,-5.66,-4.0,-1.39,-2.82,-10.14,-3.23
Luxembourg,0.69,-2.41,-8.1,-4.6,21.69,-6.93,8.16
Hungary,-0.41,-3.29,-2.98,-3.51,-0.45,-0.46,-3.21
Malta,-2.32,-3.4,-4.57,-3.87,-3.45,-4.96,-4.8
Netherlands,-0.63,-2.53,-5.84,-0.69,-1.39,-1.76,-4.66
Austria,-0.43,-3.03,-0.89,-8.56,-3.45,0.0,-1.53
Poland,-2.78,-4.57,-3.59,-3.73,-1.94,-3.95,-4.79
Portugal,-4.61,-4.05,-3.57,-5.22,-3.37,-2.76,-2.27
Romania,-1.96,-2.67,-1.03,7.96,-5.77,-4.76,-3.57
Slovenia,-5.74,-3.55,-2.63,-0.54,-5.43,-1.15,-2.91
Slovakia,-3.68,-4.46,-2.0,3.4,-3.95,-2.05,3.5
Finland,-2.97,-4.8,-4.59,-3.37,-4.48,-3.12,-1.08
Sweden,-2.4,-2.46,-3.78,-3.49,-2.26,-2.31,0.0
United Kingdom,-1.24,-6.72,-2.25,-3.69,-2.87,0.99,-2.44
