TIME,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Belgium,32.6,31.9,31.4,30.4,29.5,28.7,28.2,27.2,26.3,25.9
Bulgaria,25.1,24,23,22.1,22.6,22.2,21.9,21.4,21.5,21.9
Czechia,14.4,13.9,13.4,12.9,12.4,12.4,12.4,12.1,12.1,12.3
Denmark,32.1,30.9,30.1,29.9,28.7,27.9,27.3,26.7,26.6,26.1
Germany,21,18.1,17.9,17.7,19.7,19.8,19.8,19.8,19.6,19.5
Estonia,18.2,17.7,16.8,15.8,17.7,17.3,16.7,16.8,16.8,15.8
Ireland,29.9,29.1,28.2,26.6,24,23.5,23,21.8,21.5,21
Greece,38.5,37.1,35.9,34.5,33.1,31.5,30,29.3,28.7,25.9
Spain,48.1,47,46.4,45.6,44.5,43.5,42.6,41.8,40.8,39.6
France,31.9,31.2,30.4,28,26.5,25.9,25.4,25.2,24.4,23.4
Croatia,25.4,24.6,23.1,22.4,21,20.4,20.6,19.9,18.7,18.1
Italy,46.3,45.5,44.2,43.4,42.3,41.9,41.6,40.9,40.3,39.8
Cyprus,29.6,28.3,26.4,25.4,26.1,25.5,24,22.9,21.9,21.5
Latvia,19.5,19.5,17.4,16.6,16.1,15.6,14.9,15.2,15.3,14.9
Lithuania,17.1,15.9,15,14.4,14.2,13.8,12.4,12,11.7,11.1
Luxembourg,28.9,29.1,28.4,26.1,24.9,30.3,28.2,30.5,27.6,26.7
Hungary,24.4,24.3,23.5,22.8,22,21.9,21.8,21.1,20.2,20
Malta,60.3,58.9,56.9,54.3,52.2,50.4,47.9,45.6,42.9,41.3
Netherlands,31.8,31.6,30.8,29,28.8,28.4,27.9,26.6,26,25.5
Austria,23.2,23.1,22.4,22.2,20.3,19.6,19.6,19.3,18.9,18.7
Poland,18,17.5,16.7,16.1,15.5,15.2,14.6,13.9,13.5,13.3
Portugal,67.3,64.2,61.6,59.4,56.3,54.4,52.9,51.7,49.8,47.6
Romania,30.6,30,29.2,28.9,31.2,29.4,28,27,26.3,25.1
Slovenia,20.9,19.7,19,18.5,18.4,17.4,17.2,16.7,16.4,15.8
Slovakia,16.3,15.7,15,14.7,15.2,14.6,14.3,14.8,14.4,14.5
Finland,23.6,22.9,21.8,20.8,20.1,19.2,18.6,18.4,17.7,16.9
Sweden,25,24.4,23.8,22.9,22.1,21.6,21.1,21.1,20.9,20.8
United Kingdom,24.1,23.8,22.2,21.7,20.9,20.3,20.5,20,19.7,19.1
