house_price_index,air_transport_national,population_by_education,resource_productivity,taxes_revenues,air_emissions,life_expectancy,air_pollutants,average_working_hours,income,e_tech,human_science,managment_waste,waste_electrical,crime_area,broadband_households,unemployment
4.01,4.01,4.01,4.01,4.01,4.01,4.01,4.01,4.01,4.01,4.01,4.01,4.01,4.01,4.01,4.01,4.01
-5.51,-5.51,-5.51,-5.51,-5.51,-5.51,-5.51,-5.51,-5.51,-5.51,-5.51,-5.51,-5.51,-5.51,-5.51,-5.51,-5.51
0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11
-1.7,-1.7,-1.7,-1.7,-1.7,-1.7,-1.7,-1.7,-1.7,-1.7,-1.7,-1.7,-1.7,-1.7,-1.7,-1.7,-1.7
3.46,3.46,3.46,3.46,3.46,3.46,3.46,3.46,3.46,3.46,3.46,3.46,3.46,3.46,3.46,3.46,3.46
8.48,8.48,8.48,8.48,8.48,8.48,8.48,8.48,8.48,8.48,8.48,8.48,8.48,8.48,8.48,8.48,8.48
-17.08,-17.08,-17.08,-17.08,-17.08,-17.08,-17.08,-17.08,-17.08,-17.08,-17.08,-17.08,-17.08,-17.08,-17.08,-17.08,-17.08
-7.64,-7.64,-7.64,-7.64,-7.64,-7.64,-7.64,-7.64,-7.64,-7.64,-7.64,-7.64,-7.64,-7.64,-7.64,-7.64,-7.64
5.81,5.81,5.81,5.81,5.81,5.81,5.81,5.81,5.81,5.81,5.81,5.81,5.81,5.81,5.81,5.81,5.81
0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17
1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35
-1.6,-1.6,-1.6,-1.6,-1.6,-1.6,-1.6,-1.6,-1.6,-1.6,-1.6,-1.6,-1.6,-1.6,-1.6,-1.6,-1.6
10.43,10.43,10.43,10.43,10.43,10.43,10.43,10.43,10.43,10.43,10.43,10.43,10.43,10.43,10.43,10.43,10.43
6.62,6.62,6.62,6.62,6.62,6.62,6.62,6.62,6.62,6.62,6.62,6.62,6.62,6.62,6.62,6.62,6.62
3.68,3.68,3.68,3.68,3.68,3.68,3.68,3.68,3.68,3.68,3.68,3.68,3.68,3.68,3.68,3.68,3.68
-3.43,-3.43,-3.43,-3.43,-3.43,-3.43,-3.43,-3.43,-3.43,-3.43,-3.43,-3.43,-3.43,-3.43,-3.43,-3.43,-3.43
-1.36,-1.36,-1.36,-1.36,-1.36,-1.36,-1.36,-1.36,-1.36,-1.36,-1.36,-1.36,-1.36,-1.36,-1.36,-1.36,-1.36
-1.98,-1.98,-1.98,-1.98,-1.98,-1.98,-1.98,-1.98,-1.98,-1.98,-1.98,-1.98,-1.98,-1.98,-1.98,-1.98,-1.98
6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25
0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09
-4.91,-4.91,-4.91,-4.91,-4.91,-4.91,-4.91,-4.91,-4.91,-4.91,-4.91,-4.91,-4.91,-4.91,-4.91,-4.91,-4.91
-12.31,-12.31,-12.31,-12.31,-12.31,-12.31,-12.31,-12.31,-12.31,-12.31,-12.31,-12.31,-12.31,-12.31,-12.31,-12.31,-12.31
2.71,2.71,2.71,2.71,2.71,2.71,2.71,2.71,2.71,2.71,2.71,2.71,2.71,2.71,2.71,2.71,2.71
-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5
3.18,3.18,3.18,3.18,3.18,3.18,3.18,3.18,3.18,3.18,3.18,3.18,3.18,3.18,3.18,3.18,3.18
2.57,2.57,2.57,2.57,2.57,2.57,2.57,2.57,2.57,2.57,2.57,2.57,2.57,2.57,2.57,2.57,2.57
-1.47,-1.47,-1.47,-1.47,-1.47,-1.47,-1.47,-1.47,-1.47,-1.47,-1.47,-1.47,-1.47,-1.47,-1.47,-1.47,-1.47
2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.24
-1.91,-1.91,-1.91,-1.91,-1.91,-1.91,-1.91,-1.91,-1.91,-1.91,-1.91,-1.91,-1.91,-1.91,-1.91,-1.91,-1.91
-1.47,-1.47,-1.47,-1.47,-1.47,-1.47,-1.47,-1.47,-1.47,-1.47,-1.47,-1.47,-1.47,-1.47,-1.47,-1.47,-1.47
-2.7,-2.7,-2.7,-2.7,-2.7,-2.7,-2.7,-2.7,-2.7,-2.7,-2.7,-2.7,-2.7,-2.7,-2.7,-2.7,-2.7
3.46,3.46,3.46,3.46,3.46,3.46,3.46,3.46,3.46,3.46,3.46,3.46,3.46,3.46,3.46,3.46,3.46
7.29,7.29,7.29,7.29,7.29,7.29,7.29,7.29,7.29,7.29,7.29,7.29,7.29,7.29,7.29,7.29,7.29
-13.45,-13.45,-13.45,-13.45,-13.45,-13.45,-13.45,-13.45,-13.45,-13.45,-13.45,-13.45,-13.45,-13.45,-13.45,-13.45,-13.45
-14.78,-14.78,-14.78,-14.78,-14.78,-14.78,-14.78,-14.78,-14.78,-14.78,-14.78,-14.78,-14.78,-14.78,-14.78,-14.78,-14.78
-0.55,-0.55,-0.55,-0.55,-0.55,-0.55,-0.55,-0.55,-0.55,-0.55,-0.55,-0.55,-0.55,-0.55,-0.55,-0.55,-0.55
-1.56,-1.56,-1.56,-1.56,-1.56,-1.56,-1.56,-1.56,-1.56,-1.56,-1.56,-1.56,-1.56,-1.56,-1.56,-1.56,-1.56
-2.51,-2.51,-2.51,-2.51,-2.51,-2.51,-2.51,-2.51,-2.51,-2.51,-2.51,-2.51,-2.51,-2.51,-2.51,-2.51,-2.51
-3.05,-3.05,-3.05,-3.05,-3.05,-3.05,-3.05,-3.05,-3.05,-3.05,-3.05,-3.05,-3.05,-3.05,-3.05,-3.05,-3.05
2.96,2.96,2.96,2.96,2.96,2.96,2.96,2.96,2.96,2.96,2.96,2.96,2.96,2.96,2.96,2.96,2.96
-0.23,-0.23,-0.23,-0.23,-0.23,-0.23,-0.23,-0.23,-0.23,-0.23,-0.23,-0.23,-0.23,-0.23,-0.23,-0.23,-0.23
4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2
-3.7,-3.7,-3.7,-3.7,-3.7,-3.7,-3.7,-3.7,-3.7,-3.7,-3.7,-3.7,-3.7,-3.7,-3.7,-3.7,-3.7
3.05,3.05,3.05,3.05,3.05,3.05,3.05,3.05,3.05,3.05,3.05,3.05,3.05,3.05,3.05,3.05,3.05
-6.71,-6.71,-6.71,-6.71,-6.71,-6.71,-6.71,-6.71,-6.71,-6.71,-6.71,-6.71,-6.71,-6.71,-6.71,-6.71,-6.71
7.32,7.32,7.32,7.32,7.32,7.32,7.32,7.32,7.32,7.32,7.32,7.32,7.32,7.32,7.32,7.32,7.32
-3.49,-3.49,-3.49,-3.49,-3.49,-3.49,-3.49,-3.49,-3.49,-3.49,-3.49,-3.49,-3.49,-3.49,-3.49,-3.49,-3.49
-7.07,-7.07,-7.07,-7.07,-7.07,-7.07,-7.07,-7.07,-7.07,-7.07,-7.07,-7.07,-7.07,-7.07,-7.07,-7.07,-7.07
-5.07,-5.07,-5.07,-5.07,-5.07,-5.07,-5.07,-5.07,-5.07,-5.07,-5.07,-5.07,-5.07,-5.07,-5.07,-5.07,-5.07
-6.89,-6.89,-6.89,-6.89,-6.89,-6.89,-6.89,-6.89,-6.89,-6.89,-6.89,-6.89,-6.89,-6.89,-6.89,-6.89,-6.89
-2.71,-2.71,-2.71,-2.71,-2.71,-2.71,-2.71,-2.71,-2.71,-2.71,-2.71,-2.71,-2.71,-2.71,-2.71,-2.71,-2.71
2.42,2.42,2.42,2.42,2.42,2.42,2.42,2.42,2.42,2.42,2.42,2.42,2.42,2.42,2.42,2.42,2.42
1.27,1.27,1.27,1.27,1.27,1.27,1.27,1.27,1.27,1.27,1.27,1.27,1.27,1.27,1.27,1.27,1.27
0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38
1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18
-2.19,-2.19,-2.19,-2.19,-2.19,-2.19,-2.19,-2.19,-2.19,-2.19,-2.19,-2.19,-2.19,-2.19,-2.19,-2.19,-2.19
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9
3.12,3.12,3.12,3.12,3.12,3.12,3.12,3.12,3.12,3.12,3.12,3.12,3.12,3.12,3.12,3.12,3.12
10.65,10.65,10.65,10.65,10.65,10.65,10.65,10.65,10.65,10.65,10.65,10.65,10.65,10.65,10.65,10.65,10.65
1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25
-9.12,-9.12,-9.12,-9.12,-9.12,-9.12,-9.12,-9.12,-9.12,-9.12,-9.12,-9.12,-9.12,-9.12,-9.12,-9.12,-9.12
-1.9,-1.9,-1.9,-1.9,-1.9,-1.9,-1.9,-1.9,-1.9,-1.9,-1.9,-1.9,-1.9,-1.9,-1.9,-1.9,-1.9
-3.95,-3.95,-3.95,-3.95,-3.95,-3.95,-3.95,-3.95,-3.95,-3.95,-3.95,-3.95,-3.95,-3.95,-3.95,-3.95,-3.95
-6.51,-6.51,-6.51,-6.51,-6.51,-6.51,-6.51,-6.51,-6.51,-6.51,-6.51,-6.51,-6.51,-6.51,-6.51,-6.51,-6.51
-4.09,-4.09,-4.09,-4.09,-4.09,-4.09,-4.09,-4.09,-4.09,-4.09,-4.09,-4.09,-4.09,-4.09,-4.09,-4.09,-4.09
6.85,6.85,6.85,6.85,6.85,6.85,6.85,6.85,6.85,6.85,6.85,6.85,6.85,6.85,6.85,6.85,6.85
1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22
4.98,4.98,4.98,4.98,4.98,4.98,4.98,4.98,4.98,4.98,4.98,4.98,4.98,4.98,4.98,4.98,4.98
-2.56,-2.56,-2.56,-2.56,-2.56,-2.56,-2.56,-2.56,-2.56,-2.56,-2.56,-2.56,-2.56,-2.56,-2.56,-2.56,-2.56
-0.41,-0.41,-0.41,-0.41,-0.41,-0.41,-0.41,-0.41,-0.41,-0.41,-0.41,-0.41,-0.41,-0.41,-0.41,-0.41,-0.41
-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0
5.17,5.17,5.17,5.17,5.17,5.17,5.17,5.17,5.17,5.17,5.17,5.17,5.17,5.17,5.17,5.17,5.17
-4.38,-4.38,-4.38,-4.38,-4.38,-4.38,-4.38,-4.38,-4.38,-4.38,-4.38,-4.38,-4.38,-4.38,-4.38,-4.38,-4.38
-1.88,-1.88,-1.88,-1.88,-1.88,-1.88,-1.88,-1.88,-1.88,-1.88,-1.88,-1.88,-1.88,-1.88,-1.88,-1.88,-1.88
-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25
-5.25,-5.25,-5.25,-5.25,-5.25,-5.25,-5.25,-5.25,-5.25,-5.25,-5.25,-5.25,-5.25,-5.25,-5.25,-5.25,-5.25
0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91
1.15,1.15,1.15,1.15,1.15,1.15,1.15,1.15,1.15,1.15,1.15,1.15,1.15,1.15,1.15,1.15,1.15
5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15
2.57,2.57,2.57,2.57,2.57,2.57,2.57,2.57,2.57,2.57,2.57,2.57,2.57,2.57,2.57,2.57,2.57
