TIME,2010i,2011i,2012i,2013i,2014i,2015i,2016i
Belgium,8.89,0.69,1.75,3.52,3.55,8.99,4.88
Bulgaria,5.33,2.58,8.0,-1.41,18.85,-1.31,6.47
Czechia,7.51,-6.23,-6.84,-2.34,6.38,6.73,6.69
Denmark,1.93,1.42,6.08,-0.85,2.13,2.01,-1.69
Germany,6.32,-0.79,-0.43,0.6,-0.38,0.64,1.39
Estonia,5.25,7.66,-0.9,9.99,5.58,14.63,5.51
Ireland,2.44,-0.52,6.22,4.49,6.57,2.59,2.2
Greece,0.65,4.12,5.11,0.65,1.83,-1.38,7.6
Spain,-4.56,-3.21,20.13,-1.36,7.64,-0.13,2.78
France,5.09,3.36,4.76,1.91,8.64,5.54,5.61
Croatia,-12.28,-6.31,11.02,10.49,8.95,8.15,6.42
Italy,11.48,12.75,-1.77,5.09,-3.32,4.61,-2.7
Cyprus,2.08,-7.88,-2.49,8.59,-2.26,2.1,6.38
Latvia,13.98,9.19,9.55,9.23,8.75,5.65,3.71
Lithuania,3.02,3.88,7.14,7.94,9.09,8.16,7.95
Luxembourg,6.28,2.05,-2.94,-2.83,-2.56,-2.23,2.09
Hungary,-1.87,-2.32,-1.54,2.62,7.69,5.77,5.21
Malta,10.83,-2.74,0.09,16.58,12.57,2.68,9.35
Netherlands,-0.56,-4.54,1.82,3.02,3.19,3.62,3.71
Austria,8.63,2.08,0.78,3.23,2.87,2.2,5.49
Poland,1.74,0.54,-5.47,11.14,7.95,1.37,8.26
Portugal,-6.36,-9.85,2.07,4.64,10.49,10.93,4.83
Romania,-2.91,3.65,10.87,21.3,12.08,2.5,-10.83
Slovenia,-2.69,8.8,2.81,1.72,3.9,3.61,2.46
Slovakia,18.08,-0.3,8.28,3.09,3.25,5.67,5.69
Finland,18.54,0.07,0.07,0.07,2.7,9.66,-0.24
Sweden,0.8,2.53,-0.58,-6.89,2.69,5.51,-1.85
United Kingdom,1.19,9.54,-0.18,9.55,14.53,-8.62,-4.29
