TIME,2010,2011,2012,2013,2014,2015,2016,2017,2018
Belgium,8879,9668.4,9735,9905.5,10254.5,10618.1,11572.4,12137.5,12407.2
Bulgaria,1051.56,1107.66,1136.21,1227.05,1209.73,1437.71,1418.92,1510.71,1648.09
Czechia,3577.44,3846.08,3606.43,3359.89,3281.3,3490.56,3725.42,3974.74,4507.93
Denmark,9768.83,9957.41,10098.54,10712.52,10621.61,10847.43,11065.4,10878.28,10924.84
Germany,55178,58663,58198,57947,58293,58073,58442,59256,59737
Estonia,431.6,454.26,489.06,484.64,533.07,562.83,645.19,680.76,708.95
Ireland,4103.86,4204.11,4182.3,4442.27,4641.66,4946.64,5074.54,5186.03,5066.78
Greece,5978,6017,6265,6585,6628,6749,6656,7162,6823
Spain,17672,16866,16325,19611,19344,20821,20793,21371,22066
France,37695,39614,40946,42897,43716,47493,50125,52936,55949
Croatia,1368.87,1200.72,1124.97,1248.92,1379.96,1503.4,1625.96,1730.29,1853.35
Italy,44751,49888,56251,55257,58070,56144,58735,57151,57775
Cyprus,534.4,545.5,502.5,490,532.1,520.1,531,564.9,589.4
Latvia,530.64,604.8,660.4,723.46,790.25,859.36,907.89,941.53,982.72
Lithuania,512.22,527.68,548.13,587.27,633.88,691.52,747.92,807.4,899.78
Luxembourg,958.46,1018.69,1039.61,1009,980.49,955.43,934.17,953.65,1029.36
Hungary,2706.84,2656.19,2594.59,2554.75,2621.76,2823.5,2986.41,3141.87,3142.61
Malta,190.62,211.27,205.49,205.67,239.77,269.9,277.14,303.05,321.75
Netherlands,22310,22186,21178,21564,22216,22925,23754,24635,25832
Austria,6912.78,7509.33,7665.36,7725.21,7974.95,8203.7,8384.12,8844.75,8855.83
Poland,9846.8,10018.44,10072.65,9521.62,10581.94,11423.25,11579.8,12536.76,13500.41
Portugal,4361.59,4084.03,3681.58,3757.66,3932.13,4344.47,4819.31,5051.86,5270.52
Romania,2650.8,2573.54,2667.48,2957.48,3587.37,4020.58,4120.92,3674.82,4239.84
Slovenia,1312.07,1276.81,1389.15,1428.2,1452.74,1509.36,1563.87,1602.27,1609.66
Slovakia,1418.14,1674.49,1669.53,1807.69,1863.46,1923.93,2032.99,2148.71,2232.7
Finland,5015,5945,5949,5953,5957,6118,6709,6693,6848
Sweden,9977.14,10056.48,10310.66,10250.94,9544.21,9801.25,10341.43,10150.08,9814.98
United Kingdom,45928.15,46476.47,50910.75,50818.36,55672.85,63763.36,58266.22,55766.71,56745.15
