TIME,2010i,2011i,2012i,2013i,2014i,2015i,2016i
Belgium,-13.25,5.56,10.53,1.19,0.0,-8.24,-8.97
Bulgaria,9.71,8.85,5.69,-12.31,-19.3,-17.39,-18.42
Czechia,-8.22,4.48,0.0,-12.86,-16.39,-21.57,-27.5
Denmark,1.3,0.0,-5.13,-6.76,-8.7,-4.76,-3.33
Germany,-17.14,-6.9,-3.7,-3.85,-8.0,-10.87,-7.32
Estonia,-26.35,-18.7,-14.0,-13.95,-16.22,9.68,-14.71
Ireland,5.48,0.65,-10.97,-13.77,-15.97,-16.0,-20.24
Greece,40.94,36.87,12.24,-3.64,-6.04,-5.22,-8.9
Spain,7.54,15.89,5.24,-6.13,-9.8,-11.31,-12.24
France,-1.08,6.52,5.1,0.0,0.97,-3.85,-6.0
Croatia,17.09,16.79,8.13,0.0,-6.36,-19.14,-14.5
Italy,0.0,27.38,14.02,4.1,-6.3,-1.68,-4.27
Cyprus,25.4,50.63,33.61,1.26,-6.83,-13.33,-14.62
Latvia,-16.92,-7.41,-20.67,-9.24,-8.33,-3.03,-9.38
Lithuania,-13.48,-12.99,-11.94,-9.32,-14.95,-13.19,-10.13
Luxembourg,11.36,4.08,15.69,0.0,13.56,-5.97,-12.7
Hungary,-1.79,0.0,-7.27,-24.51,-11.69,-25.0,-17.65
Malta,-7.25,-3.12,-1.61,-6.56,-5.26,-12.96,-14.89
Netherlands,0.0,16.0,25.86,1.37,-6.76,-13.04,-18.33
Austria,-4.17,6.52,10.2,3.7,1.79,5.26,-8.33
Poland,0.0,4.12,1.98,-12.62,-16.67,-17.33,-20.97
Portugal,17.27,22.48,3.8,-14.02,-10.64,-11.11,-19.64
Romania,2.86,-5.56,4.41,-4.23,0.0,-13.24,-16.95
Slovenia,12.33,8.54,13.48,-3.96,-7.22,-11.11,-17.5
Slovakia,-5.56,2.94,1.43,-7.04,-12.88,-15.65,-16.49
Finland,-7.14,-1.28,6.49,6.1,8.05,-6.38,-2.27
Sweden,-9.3,2.56,1.25,-1.23,-7.5,-5.41,-4.29
United Kingdom,3.85,-2.47,-5.06,-18.67,-13.11,-9.43,-10.42
